Barikoi,বারিকই
Barikoi,বাড়িকই 
Sector,সেক্টর
Dhaka,ঢাকা
Cantonment,সেনানিবাস
Section,সেকশন
lalmatia,লালমাটিয়া
East,পূর্ব
Tejturi,তেজতুরী
Bazar,বাজার
faydabad,ফায়দাবাদ
dakkhinkhan,দক্ষিনখান
Mirpur,মিরপুর
DOHS,ডিওএইচএস
Nikunja,নিকুঞ্জ
Real,রিয়াল
estate,স্টেট
Mollapara,মোল্লাপাড়া
Mohammadia,মোহাম্মদিয়া লিমিটেড
Housing,হাউজিং
Limited,লিমিটেড
Mohammadpur,মোহাম্মদপুর
Kalabagan,কলাবাগান
Khilgaon,খিলগাঁও
Khilgaon,খিলগাও
Kawran,কাওরান
Doaripara,দুয়ারিপাড়া
Sirajdikhan,সিরাজদিখান
Banasree,বনশ্রী
Shewrapara,শেওড়াপাড়া
Rampura,রামপুরা
Plaza,প্লাজা
Baitul,বায়তুল
Aman,আমান
Society,সোসাইটি
Matikata,মাটিকাটা
Palashi,পলাশী
Pirerbagh,পিরেরবাগ
Goran,গোড়ান
Lalbagh,লালবাগ
Kazipara,কাজীপাড়া
Shewrapara,শেওড়াপাড়া
Monipur,মনিপুর
Sher-E-Bangla,শের-ই-বাংলা
nagar,নগর
Chairmanbari,চেয়ারম্যানবাড়ি
Mohanagar,মোহনগর
Project,প্রকল্প
Senpara,সেনপাড়া
Parbatta,পার্বত্য
shyamoli,শ্যামলী
Dhanmondi,ধানমন্ডি
Mohakhali,মহাখালী
Wirelessgate,ওয়্যারলেসগেট
Farmgate,ফার্মগেট
Panthapath,পান্থপথ
Dhanmondi,ধানমন্ডি
Chowdhury,চৌধুরী 
Malibagh,মালিবাগ
Para,পাড়া
Mor,মোড়
Badda,বাড্ডা
Sutrapur,সূত্রাপুর
Aricha,আরিচা
Highway,হাইওয়ে
Rampura,রামপুরা
Pisciculture,পিসিকালচার
Shekhertek,শেখেরটেক
Shankar,শঙ্কর
Bus Stand,বাসস্ট্যান্ড
Jigatola,জিগাতলা
Wireless,ওয়্যারলেস
Fulbaria,ফুলবাড়িয়া
Kumartoli,কুমারতলি
Kumartoli,কুমারতলী
Hazipara,হাজিপাড়া
Tikatuli,টিকাটুলি
Ekuria,ইকুরিয়া
Paltan,পল্টন
Kachabazar,কাচাবাজার
Press Club,প্রেসক্লাব
Press,প্রেস
Club,ক্লাব
Shahid,শহীদ
Shahabuddin,শাহাবুদ্দিন
Uddyan,উদ্যান
Zia,জিয়া
Paikpara,পাইকপাড়া
Paik,পাইক
Baily,বেইলি
Mujahidnagar,মুজাহিদনগর
Nurbagh,নুরবাগ
Agargaon,আগারগাঁও
Agargaon,আগারগাও
Khilkhet,খিলক্ষেত
Stop,স্টপ
Namapara,নামাপাড়া
Nama para,নামাপারা
Shewrapara,শেওড়াপাড়া
bashundhara,বসুন্ধরা
Khamarbari,খামারবাড়ি
Shahjadpur,শাহজাদপুর
Nikunja,নিকুঞ্জ
Merul,মেরুল
Badda,বাড্ডা
Tejkuni,তেজকুনি
Gazipara,গাজিপাড়া
Chowdhury Para,চৌধুরীপাড়া
Mainartek,মইনারটেক
DIT,ডিআইটি
Noyatola,নয়াটোলা
Kunipara,কুনিপাড়া
Bou,বউ
Banasree,বনশ্রী
Tejgaon,তেজগাঁও
Tejgaon,তেজগাও
Babli,বাবলি
I/A,আই/এ
Nabisco,নাবিস্কো
Colony,কলোনি
Kalachadpur,কালাচাদপুর
Rupnagar,রূপনগর
Rupali,রূপালী
Rupali,রূপালি
C/A,সি/এ
stage,ষ্টেজ
State,ষ্টেট
Shial,শিয়াল
Aambagan,আমবাগান
Shialbari,শিয়ালবাড়ী
Market,মার্কেট
TB,টিবি
Gate,গেট
Tin,টিন
Shade,শেড
I/A,আই/এ
R/A,আর/এ
A/a,এ/এ
Kafrul,কাফরুল
Box,বক্স
Box nagar,বক্সনগর
Borobagh,বরবাগ
Borobagh,বড়বাগ
Borobazar,বড়বাজার
Monipur,মনিপুর
Barek,বারেক
Harirampur,হরিরামপুর
Purobi,পূরবী
Pallabi,পল্লবী
Arifabad,আরিফাবাদ
porbota,পরবোত
Kazipara,কাজিপাড়া
Priyangon,প্রিয়াঙ্গন
Kalshi,কালশী
Taltola,তালতলা
Solmaid,সল্মাইড
Solmaid,সল্মাইদ
Solmaid,সলমাইদ
Basundhara,বসুন্ধরা
RA,আরএ
Ahmed,আহমেদ
Shah,শাহ
Ali,আলী
Bagh,বাগ
Kachukhet,কচুখেত
Kadamtali,কদমতলী
Ibrahimpur,ইব্রাহিমপুর
Palashnagar,পলাশনগর
Shangbadik,সাংবাদিক
Taltola,তালতোলা
Paikapara,পাইকপাড়া
Adabor,আদাবর
Ahmednagar,আহমেদনগর
Baridhara,বারিধারা
Rajanigandha,রজনীগন্ধা
Super,সুপার
North-East,উত্তর-পূর্ব
side,পাশ
Cantonment,সেনানিবাস
Cantonment,ক্যান্টনমেন্ট
Pulpar,পালপাড়
Ibrahimpur,ইব্রাহিমপুর
Kadamtala,কদমতলা
Shaymoli,শ্যমলি
Shaymoli,শ্যমলী
Khalpar,খালপাড়
Kallyanpur,কল্যাণপুর
Kallyanpur,কল্যানপুর
Popular,পপুলার
Janata,জনতা
Kathalbagan,কাঁঠালবাগান
Kathalbagan,কাঠালবাগান
Kaoran,কাওরান
Free,ফ্রি
School,স্কুল
Street,স্ট্রিট
Moghbazar,মগবাজার
Boro,বড়
Shajadpur,শাহজাদপুর
Khilbarirtek,খিলবারিটেক
Khilbarirtek,খিলবাড়িটেক
Lake,লেক
Circus,সার্কাস
Moghbazar,মগবাজার
Ramna,রমনা
Baily,বেইলি
Sabanoom,শবনম
Gazi,গাজী
Banglamotor,বাংলামটর
Banglamotor,বাংলামোটর
Chan,চান
Mia,মিয়া
Housing,হাউসিং
Housing,হাউজিং
Goran,গোরান
Railgate,রেলগেট
Pabna,পাবনা
Kalabagan,কলাবাগান
Gulbagh,গুলবাগ
Khilbarirtek,খিলবাড়িরটেক
Siddheshwari,সিদ্ধেশ্বরী
Sayednagar,সায়েদনগর
Sayednagar,সাইদনগর
Vatara,ভাটারা
banani,বনানী
Khandakar,খন্দকার
